"election_year","state","office_id","office_name","office_level","office_branch","district_id","district_ocdid","district_name","district_type","parent_district_id","parent_district_name","race_id","race_type","seats_up_for_election","race_url","election_date_id","election_date","election_date_district_type","stage_id","stage","stage_party","is_partisan_primary","stage_is_canceled","stage_is_ranked_choice","stage_write_in_other_votes","candidate_id","person_id","name","first_name","last_name","ballotpedia_url","gender","party_affiliation","is_incumbent","candidate_status","is_write_in","is_withdrawn_still_on_ballot","votes_for","votes_against","delegates_pledged","ranked_choice_voting_round"
2024,"MI","123172","Amber Township Treasurer","Local","Executive","107672",NULL,"Amber (Mason County)","City-town",NULL,NULL,"142107","Regular",1,NULL,"28030","2024-08-06","State","226458","Primary","Republican Party","true","false","false",NULL,"253322","564892","Connie L. Anderson","Connie","Anderson","https://ballotpedia.org/Connie_L._Anderson_(Amber_Township_Treasurer,_Michigan,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"SC","131091","Union County Clerk of Court","Local","Executive","13248","ocd-division/country:us/state:sc/county:union","Union","County",NULL,NULL,"156177","Regular",1,NULL,"26127","2024-11-05","State","241763","General",NULL,NULL,"false","false",NULL,"281391","595573","Melanie Lawson","Melanie","Lawson","https://ballotpedia.org/Melanie_Lawson_(Union_County_Clerk_of_Court,_South_Carolina,_candidate_2024)",NULL,"Democratic Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"CA","128052","Marin Municipal Water District Board Division 2","Local","Legislative","11019","ocd-division/country:us/state:ca/county:marin","Marin","County",NULL,NULL,"154443","Regular",1,NULL,"26092","2024-11-05","State","239849","General",NULL,NULL,"false","false",NULL,"277186","591094","Jack Kenney","Jack","Kenney","https://ballotpedia.org/Jack_Kenney_(Marin_Municipal_Water_District_Board_Division_2,_California,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"CA","127413","Santa Clara City Council District 4","Local","Legislative","66929","ocd-division/country:us/state:ca/place:santa_clara","Santa Clara","City-town",NULL,NULL,"155056","Regular",1,NULL,"26092","2024-11-05","State","240468","General",NULL,NULL,"false","false",NULL,"278808","592713","Kevin Nara Park","Kevin","Park","https://ballotpedia.org/Kevin_Nara_Park_(Santa_Clara_City_Council_District_4,_California,_candidate_2024)","Male","Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"TX","41823","Jim Wells County Commissioner Precinct 3","Local","Legislative","13536","ocd-division/country:us/state:tx/county:jim_wells","Jim Wells","County",NULL,NULL,"167256","Regular",1,NULL,"26130","2024-11-05","State","261741","General",NULL,NULL,"false","false",NULL,"303362","617938","Renee Kirchoff Chapa","Renee","Chapa","https://ballotpedia.org/Renee_Kirchoff_Chapa_(Jim_Wells_County_Commissioner_Precinct_3,_Texas,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"MI","124655","Cottrellville Township Supervisor","Local","Executive","107694",NULL,"Cottrellville (St. Clair County)","City-town",NULL,NULL,"143294","Regular",1,NULL,"28030","2024-08-06","State","227783","Primary","Republican Party","true","false","false",NULL,"255365","566935","Greg Abbey","Greg","Abbey","https://ballotpedia.org/Greg_Abbey_(Cottrellville_Township_Supervisor,_Michigan,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"IN","116220","Porter County Surveyor","Local","Executive","11672","ocd-division/country:us/state:in/county:porter","Porter","County",NULL,NULL,"137090","Regular",1,NULL,"26101","2024-11-05","State","249881","General",NULL,NULL,"false","false",NULL,"237648","549612","Kevin D. Breitzke","Kevin","Breitzke","https://ballotpedia.org/Kevin_D._Breitzke_(Porter_County_Surveyor,_Indiana,_candidate_2024)",NULL,"Democratic Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"CA","1240","Superior Court of San Mateo County Office 3","Local","Judicial","59208",NULL,"Superior Court of San Mateo County, California","Judicial District",NULL,NULL,"130192","Regular",1,NULL,"27139","2024-03-05","State","211230","Primary",NULL,"false","false","false",NULL,"221889","533821","Susan Irene Etezadi","Susan","Etezadi","https://ballotpedia.org/Susan_Irene_Etezadi_(Superior_Court_of_San_Mateo_County,_California,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"MI","122030","Onekama Township Clerk","Local","Executive","107723",NULL,"Onekama (Manistee County)","City-town",NULL,NULL,"146113","Regular",1,NULL,"26109","2024-11-05","State","256622","General",NULL,NULL,"false","false",NULL,"260157","571727","Amber Sedelmaier","Amber","Sedelmaier","https://ballotpedia.org/Amber_Sedelmaier_(Onekama_Township_Clerk,_Michigan,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"WI","88617","Greendale Village Trustee","Local",NULL,"92454","ocd-division/country:us/state:wi/place:greendale","Greendale","City-town",NULL,NULL,"133861","Regular",2,NULL,"28166","2024-04-02","State","215462","General",NULL,NULL,"false","false",NULL,"228660","541844","Elaine Unger","Elaine","Unger","https://ballotpedia.org/Elaine_Unger_(Greendale_Village_Trustee,_Wisconsin,_candidate_2024)","Female","Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
